_id_fr,model_utac,commercial_name,ntic,hybrid,power_admin,power_max_kw,transmission,cons_urb_l100km,cons_extraurb_l100km,cons_mix_l100km,co2_g_km,co_g_km,hc_g_km,nox_g_km,hc_nox_g_km,pm_g_km,kerb_weight_min_kg,mkerb_weight_max_kg,champ_v9,date_maj,fuel_display_name,fuel_grp,segment_grp,segment_ord,body_type_display_name,body_type_grp,tvv_clean,e (g/km),m (kg),w (mm),at1 (mm),at2 (mm),ec (cm3),ep (KW),z (Wh/km),tvv_composite,_merge,brand_group,kw_comp,co2_comp,kg_comp,fuel_comp,fuel_agree,tvv_comp,model_comp,kw_delta,co2_delta,kg_delta,tv_comp,fuel_comp_display,fuel_comp_grp,kw_comp_imputed,co2_comp_imputed,nox_comps,nox_comps_imputed,co_comps,co_comps_imputed,match_steps,r_merged,n_eu_records,n_fr_configs
4107.0,C 180,C 180 CDI BERLINE BVM6 FAP,M10MCDVPJ801445,non,6.0,88.0,M 6,5.9,4.1,4.8,125.0,0.268,,0.154,0.172,0.0,1565.0,1565.0,715/2007*566/2011EURO5,juin-13,Diesel,Diesel,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H0S0M0KZAAA500,125.0,1565.0,2760.0,1569.0,1552.0,2143.0,88.0,,204H0S0M0KZAAA500,both,MERCEDES-BENZ,88,125,1565,GO,True,204H0S0M0KZAAA500,CLASSE C,0,0,0,204H0S0M0,Diesel,Diesel,False,False,0.154,False,0.268,False,Step 1: Exact TVV (T+Va+Ve) | Step 3: String Match Both,100.0,12,2
4109.0,C 180,C 180 CDI BERLINE BVM6 FAP,M10MCDVPJ802446,non,6.0,88.0,M 6,6.0,4.2,4.9,127.0,0.268,,0.154,0.172,0.0,1565.0,1565.0,715/2007*566/2011EURO5,juin-13,Diesel,Diesel,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H0S0M0KZAAA501,127.0,1565.0,2760.0,1569.0,1552.0,2143.0,88.0,,204H0S0M0KZAAA501,both,MERCEDES-BENZ,88,127,1565,GO,True,204H0S0M0KZAAA501,CLASSE C,0,0,0,204H0S0M0,Diesel,Diesel,False,False,0.154,False,0.268,False,Step 1: Exact TVV (T+Va+Ve) | Step 3: String Match Both,15.0,13,2
4113.0,C 180,C 180 CDI BERLINE BVM6 FAP,M10MCDVPJ804448,non,6.0,88.0,M 6,6.1,4.4,5.0,131.0,0.268,,0.154,0.172,0.0,1565.0,1565.0,715/2007*566/2011EURO5,juin-13,Diesel,Diesel,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H0S0M0KZAAA503,131.0,1565.0,2760.0,1569.0,1552.0,2143.0,88.0,,204H0S0M0KZAAA503,both,MERCEDES-BENZ,88,131,1565,GO,True,204H0S0M0KZAAA503,CLASSE C,0,0,0,204H0S0M0,Diesel,Diesel,False,False,0.154,False,0.268,False,Step 1: Exact TVV (T+Va+Ve) | Step 3: String Match Both,530.0,34,6
4151.0,C 180,C 180 CDI BERLINE BVA7 FAP,M10MCDVPJ80N467,non,6.0,88.0,A 7,6.1,4.3,4.9,129.0,0.068,,0.157,0.168,0.0,1590.0,1590.0,715/2007*566/2011EURO5,juin-13,Diesel,Diesel,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H0S0M0NZABA500,129.0,1590.0,2760.0,1569.0,1552.0,2143.0,88.0,,204H0S0M0NZABA500,both,MERCEDES-BENZ,88,129,1590,GO,True,204H0S0M0NZABA500,CLASSE C,0,0,0,204H0S0M0,Diesel,Diesel,False,False,0.157,False,0.068,False,Step 1: Exact TVV (T+Va+Ve) | Step 3: String Match Both,44.0,15,4
4153.0,C 180,C 180 CDI BERLINE BVA7 FAP,M10MCDVPJ80P468,non,6.0,88.0,A 7,6.1,4.4,5.0,131.0,0.068,,0.157,0.168,0.0,1590.0,1590.0,715/2007*566/2011EURO5,juin-13,Diesel,Diesel,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H0S0M0NZABA501,131.0,1590.0,2760.0,1569.0,1552.0,2143.0,88.0,,204H0S0M0NZABA501,both,MERCEDES-BENZ,88,131,1590,GO,True,204H0S0M0NZABA501,CLASSE C,0,0,0,204H0S0M0,Diesel,Diesel,False,False,0.157,False,0.068,False,Step 1: Exact TVV (T+Va+Ve) | Step 3: String Match Both,13.0,9,2
4157.0,C 180,C 180 CDI BERLINE BVA7 FAP,M10MCDVPJ80R470,non,7.0,88.0,A 7,6.3,4.5,5.1,135.0,0.068,,0.157,0.168,0.0,1590.0,1590.0,715/2007*566/2011EURO5,juin-13,Diesel,Diesel,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H0S0M0NZABA503,135.0,1590.0,2760.0,1569.0,1552.0,2143.0,88.0,,204H0S0M0NZABA503,both,MERCEDES-BENZ,88,135,1590,GO,True,204H0S0M0NZABA503,CLASSE C,0,0,0,204H0S0M0,Diesel,Diesel,False,False,0.157,False,0.068,False,Step 1: Exact TVV (T+Va+Ve) | Step 3: String Match Both,367.0,27,6
4163.0,C 180,C 180 CDI BERLINE BVA7 FAP,M10MCDVPJ80T473,non,7.0,88.0,A 7,6.4,4.7,5.3,140.0,0.068,,0.157,0.168,0.0,1590.0,1590.0,715/2007*566/2011EURO5,juin-13,Diesel,Diesel,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H0S0M0NZABA534,140.0,1590.0,2760.0,1541.0,1544.0,2143.0,88.0,,204H0S0M0NZABA534,both,MERCEDES-BENZ,88,140,1590,GO,True,204H0S0M0NZABA534,CLASSE C,0,0,0,204H0S0M0,Diesel,Diesel,False,False,0.157,False,0.068,False,Step 1: Exact TVV (T+Va+Ve) | Step 3: String Match Both,2.0,3,2
4195.0,C 180,C 180 BE COUPE BVM6,M10MCDVPR06R199,non,8.0,115.0,M 6,7.7,4.7,5.8,136.0,0.127,0.064,0.031,,0.0,1490.0,1490.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Coupe,Sport / Special,204H331P0JZAAA400,136.0,1490.0,2760.0,1569.0,1552.0,1595.0,115.0,,204H331P0JZAAA400,both,MERCEDES-BENZ,115,136,1490,ES,True,204H331P0JZAAA400,CLASSE C,0,0,0,204H331P0,Petrol,Petrol,False,False,0.031,False,0.127,False,Step 1: Exact TVV (T+Va+Ve),1.0,2,2
4199.0,C 180,C 180 BE COUPE BVM6,M10MCDVPR06T201,non,9.0,115.0,M 6,7.9,5.0,6.1,142.0,0.127,0.064,0.031,,0.0,1490.0,1490.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Coupe,Sport / Special,204H331P0JZAAA403,142.0,1490.0,2760.0,1569.0,1552.0,1595.0,115.0,,204H331P0JZAAA403,both,MERCEDES-BENZ,115,142,1490,ES,True,204H331P0JZAAA403,CLASSE C,0,0,0,204H331P0,Petrol,Petrol,False,False,0.031,False,0.127,False,Step 1: Exact TVV (T+Va+Ve),9.0,8,4
4231.0,C 180,C 180 BE COUPE BVA7,M10MCDVPR069217,non,9.0,115.0,A 7,7.9,5.1,6.1,142.0,0.151,0.051,0.019,,0.0,1505.0,1505.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Coupe,Sport / Special,204H331P0NZAAA403,142.0,1505.0,2760.0,1569.0,1552.0,1595.0,115.0,,204H331P0NZAAA403,both,MERCEDES-BENZ,115,142,1505,ES,True,204H331P0NZAAA403,CLASSE C,0,0,0,204H331P0,Petrol,Petrol,False,False,0.019,False,0.151,False,Step 1: Exact TVV (T+Va+Ve),10.0,6,2
4237.0,C 180,C 180 BE COUPE BVA7,M10MCDVPR06C220,non,9.0,115.0,A 7,8.0,5.3,6.3,147.0,0.151,0.051,0.019,,0.0,1505.0,1505.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Coupe,Sport / Special,204H331P0NZAAA434,147.0,1505.0,2760.0,1541.0,1544.0,1595.0,115.0,,204H331P0NZAAA434,both,MERCEDES-BENZ,115,147,1505,ES,True,204H331P0NZAAA434,CLASSE C,0,0,0,204H331P0,Petrol,Petrol,False,False,0.019,False,0.151,False,Step 1: Exact TVV (T+Va+Ve),2.0,4,2
